Azizul Zahid,,,,,,,,,,,,,,,,,,,,,,,,
Wrap:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
random seed:,1707325706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,,,,,18,,,,,,,
Rule:,4.13E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,2,0.992,0.923076923,1.485772474,2.038159682,0.675102537,Periodic,,,,,,,,,,,,,,,,
1,12,2,0.984,0.846153846,1.469772474,1.884313528,0.797008684,Periodic,,,,,,,,,,,,,,,,
2,2,2,0.936,0.769230769,1.628103658,1.922023143,0.923839491,Periodic,,,,,,,,,,,,,,,,
3,10,2,0.888,0.692307692,1.718316786,1.884313528,1.064097213,Periodic,,,,,,,,,,,,,,,,
4,8,2,0.768,0.615384615,1.879217967,1.884313528,1.163904139,Periodic,,,,,,,,,,,,,,,,
5,11,2,0.744,0.538461538,1.845361041,1.738149333,1.302049796,Periodic,,,,,,,,,,,,,,,,
6,6,3,0.592,0.461538462,1.752540498,1.573402452,1.52648891,Chaotic,,,,,,,,,,,,,,,,
7,5,3,0.448,0.384615385,1.295453737,1.238901257,1.823599523,Chaotic,,,,,,,,,,,,,,,,
8,4,3,0.328,0.307692308,1.175752044,1.140115679,2.080006398,Chaotic,,,,,,,,,,,,,,,,
9,1,1,0.304,0.230769231,1.138893861,0.991264261,2.405516006,Fixed and homogenous,,,,,,,,,,,,,,,,
10,9,1,0.224,0.153846154,0.978028471,0.773228349,2.838589981,Fixed and homogenous,,,,,,,,,,,,,,,,
11,7,1,0.08,0.076923077,0.40217919,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,3,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,29,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.43E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.894524717,2.199687795,0.597076448,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,10,3,0.944,0.846153846,1.939067088,2.257756064,0.663963676,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,8,3,0.824,0.769230769,2.101206572,2.295465679,0.772216144,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,9,3,0.744,0.692307692,2.08244484,2.257756064,0.885517964,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,12,3,0.736,0.615384615,2.056685692,2.133937566,0.958474223,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,7,3,0.592,0.538461538,2.005562054,2.045841641,1.106211536,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,11,3,0.568,0.461538462,1.965442521,1.88109476,1.26163125,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,1,3,0.544,0.384615385,1.829795176,1.546593564,1.367828681,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,3,3,0.464,0.307692308,1.719535825,1.352030102,1.620319496,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,6,3,0.312,0.230769231,1.195374462,0.991264261,1.971446207,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,4,1,0.192,0.153846154,0.705636606,0.619382195,2.391139814,Fixed and homogenous,,,,,,,,,,,,,,,,
11,2,1,0.144,0.076923077,0.594619344,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,5,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
